code,long_name_en,long_name_tr,long_name_tr_source,component,unit_default,scale_typ
64922-8,I get scared when there is thunder in the air [SCARED-R],,,I get scared when there is thunder in the air,,Ord
6492-3,Neisseria meningitidis Ag [Presence] in Specimen by Immunofluorescence,Neisseria meningitidis Ag:MevcEşik:Zmlı:XXX:Srl:IF,composed,Neisseria meningitidis Ag,,Ord
64923-6,I do things more than twice in order to check whether I did it right [SCARED-R],,,I do things more than twice in order to check whether I did it right,,Ord
64924-4,I have frightening dreams about a very aversive event I once experienced [SCARED-R],,,I have frightening dreams about a very aversive event I once experienced,,Ord
64925-1,I want things to be clean and tidy [SCARED-R],,,I want things to be clean and tidy,,Ord
64926-9,"When frightened, I feel that things are not real [SCARED-R]",,,"When frightened, I feel that things are not real",,Ord
64927-7,I feel scared when I have to fly in an airplane [SCARED-R],,,I feel scared when I have to fly in an airplane,,Ord
64928-5,I have nightmares about my parents [SCARED-R],,,I have nightmares about my parents,,Ord
64929-3,I worry about going to school [SCARED-R],,,I worry about going to school,,Ord
64930-1,I do things to get less scared of my thoughts [SCARED-R],,,I do things to get less scared of my thoughts,,Ord
6493-1,Neisseria meningitidis serogroup A Ag [Presence] in Cerebral spinal fluid by Immunoassay,Neisseria meningitidis A Ag:MevcEşik:Zmlı:BOS:Srl:İA,composed,Neisseria meningitidis serogroup A Ag,,Ord
64931-9,"When frightened, my heart beats fast [SCARED-R]",,,"When frightened, my heart beats fast",,Ord
64932-7,I am scared when I get an injection [SCARED-R],,,I am scared when I get an injection,,Ord
64933-5,I am afraid to get a serious disease [SCARED-R],,,I am afraid to get a serious disease,,Ord
64934-3,I feel weak and shaky [SCARED-R],,,I feel weak and shaky,,Ord
64935-0,I have nightmares about bad things happening to me [SCARED-R],,,I have nightmares about bad things happening to me,,Ord
64936-8,I am afraid of having anxiety attacks [SCARED-R],,,I am afraid of having anxiety attacks,,Ord
64937-6,I worry that bad happens to my parents [SCARED-R],,,I worry that bad happens to my parents,,Ord
64938-4,I am shy with people I don't know well [SCARED-R],,,I am shy with people I don't know well,,Ord
64939-2,I fantasize about hurting other people [SCARED-R],,,I fantasize about hurting other people,,Ord
649-4,Microscopic observation [Identifier] in Stool by Gram stain,Mikroskopik gözlem [Tanımlayıcı] Dışkıda Gram boyama ile,llm,Observation,,Nom
64940-0,I worry about the future [SCARED-R],,,I worry about the future,,Ord
64941-8,"When frightened, I feel like throwing up [SCARED-R]",,,"When frightened, I feel like throwing up",,Ord
64942-6,I worry about how well I do things [SCARED-R],,,I worry about how well I do things,,Ord
64943-4,I am scared to go to school [SCARED-R],,,I am scared to go to school,,Ord
64944-2,I worry about things that happened in the past [SCARED-R],,,I worry about things that happened in the past,,Ord
64945-9,"When frightened, I feel dizzy [SCARED-R]",,,"When frightened, I feel dizzy",,Ord
64947-5,I have thoughts that I prefer not to have [SCARED-R],,,I have thoughts that I prefer not to have,,Ord
64948-3,I am afraid of the dark [SCARED-R],,,I am afraid of the dark,,Ord
6494-9,Neisseria meningitidis serogroup A Ag [Presence] in Cerebral spinal fluid by Latex agglutination,Neisseria meningitidis A Ag:MevcEşik:Zmlı:BOS:Srl:LA,composed,Neisseria meningitidis serogroup A Ag,,Ord
64949-1,I have unbidden thoughts about a very aversive event I once experienced [SCARED-R],,,I have unbidden thoughts about a very aversive event I once experienced,,Ord
64950-9,I am afraid of an animal that most children do not fear [SCARED-R],,,I am afraid of an animal that most children do not fear,,Ord
64951-7,I don't like being in a hospital [SCARED-R],,,I don't like being in a hospital,,Ord
64952-5,"When frightened, it is hard to breathe [SCARED-R]",,,"When frightened, it is hard to breathe",,Ord
64953-3,I am afraid of heights [SCARED-R],,,I am afraid of heights,,Ord
64954-1,I get headaches or stomach aches when I am at school [SCARED-R],,,I get headaches or stomach aches when I am at school,,Ord
64955-8,I don't like to be with people I don't know [SCARED-R],,,I don't like to be with people I don't know,,Ord
6495-6,Neisseria meningitidis serogroup A Ag [Presence] in Specimen by Immunofluorescence,Neisseria meningitidis A Ag:MevcEşik:Zmlı:XXX:Srl:IF,composed,Neisseria meningitidis serogroup A Ag,,Ord
64956-6,"When I see blood, I get dizzy [SCARED-R]",,,"When I see blood, I get dizzy",,Ord
64957-4,I want that things are in a fixed order [SCARED-R],,,I want that things are in a fixed order,,Ord
64958-2,I get scared when I sleep away from home [SCARED-R],,,I get scared when I sleep away from home,,Ord
64959-0,Kiwi recombinant (rAct d) 8 IgE Ab [Units/volume] in Serum,Actinidia deliciosa rekombinant (rAct d) 8 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Actinidia deliciosa recombinant (rAct d) 8 Ab.IgE,k[IU]/L,Qn
64960-8,Celery recombinant (rApi g) 1 IgE Ab [Units/volume] in Serum,Apium graveolens rekombinant (rApi g) 1 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Apium graveolens recombinant (rApi g) 1 Ab.IgE,k[IU]/L,Qn
64961-6,Apple recombinant (rMal d) 1 IgE Ab [Units/volume] in Serum,Malus domestica rekombinant (rMal d) 1 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Malus domestica recombinant (rMal d) 1 Ab.IgE,k[IU]/L,Qn
64962-4,Cashew nut recombinant (rAna o) 2 IgE Ab [Units/volume] in Serum,Anacardium occidentale rekombinant (rAna o) 2 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Anacardium occidentale recombinant (rAna o) 2 Ab.IgE,k[IU]/L,Qn
64963-2,Brazil Nut recombinant (rBer e) 1 IgE Ab [Units/volume] in Serum,Bertholletia excelsa rekombinant (rBer e) 1 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Bertholletia excelsa recombinant (rBer e) 1 Ab.IgE,k[IU]/L,Qn
6496-4,Neisseria meningitidis serogroup B Ag [Presence] in Cerebral spinal fluid by Immunoassay,Neisseria meningitidis B Ag:MevcEşik:Zmlı:BOS:Srl:İA,composed,Neisseria meningitidis serogroup B Ag,,Ord
64964-0,Hazelnut recombinant (rCor a) 1.0401 IgE Ab [Units/volume] in Serum,Corylus avellana rekombinant (rCor a) 1.0401 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Corylus avellana recombinant (rCor a) 1.0401 Ab.IgE,k[IU]/L,Qn
64965-7,Peanut recombinant (rAra h) 9 IgE Ab [Units/volume] in Serum,Arachis hypogaea recombinant (rAra h) 9 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Arachis hypogaea recombinant (rAra h) 9 Ab.IgE,k[IU]/L,Qn
64966-5,Wheat recombinant (rTri a) 14 IgE Ab [Units/volume] in Serum,Triticum aestivum rekombinant (rTri a) 14 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Triticum aestivum recombinant (rTri a) 14 Ab.IgE,k[IU]/L,Qn
64967-3,Black Alder recombinant (rAln g) 1 IgE Ab [Units/volume] in Serum,Alnus glutinosa rekombinant (rAln g) 1 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Alnus glutinosa recombinant (rAln g) 1 Ab.IgE,k[IU]/L,Qn
64968-1,Hazelnut recombinant (rCor a) 1.0101 IgE Ab [Units/volume] in Serum,Corylus avellana rekombinant (rCor a) 1.0101 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Corylus avellana recombinant (rCor a) 1.0101 Ab.IgE,k[IU]/L,Qn
64969-9,London Plane recombinant (rPla a) 1 IgE Ab [Units/volume] in Serum,Platanus acerifolia recombinant (rPla a) 1 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Platanus acerifolia recombinant (rPla a) 1 Ab.IgE,k[IU]/L,Qn
64970-7,London Plane recombinant (rPla a) 3 IgE Ab [Units/volume] in Serum,Platanus acerifolia rekombinant (rPla a) 3 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Platanus acerifolia recombinant (rPla a) 3 Ab.IgE,k[IU]/L,Qn
64971-5,Goosefoot recombinant (rChe a) 1 IgE Ab [Units/volume] in Serum,Chenopodium album rekombinant (rChe a) 1 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Chenopodium album recombinant (rChe a) 1 Ab.IgE,k[IU]/L,Qn
6497-2,Neisseria meningitidis serogroup B Ag [Presence] in Cerebral spinal fluid by Immunofluorescence,Neisseria meningitidis B Ag:MevcEşik:Zmlı:BOS:Srl:IF,composed,Neisseria meningitidis serogroup B Ag,,Ord
64972-3,English plantain recombinant (rPla l) 1 IgE Ab [Units/volume] in Serum,Plantago lanceolata recombinant (rPla l) 1 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Plantago lanceolata recombinant (rPla l) 1 Ab.IgE,k[IU]/L,Qn
64973-1,Dog recombinant 5 IgE Ab [Units/volume] in Serum,Köpek rekombinant (rCan f) 5 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Dog recombinant (rCan f) 5 Ab.IgE,k[IU]/L,Qn
64974-9,Horse recombinant (rEqu c) 1 IgE Ab [Units/volume] in Serum,At rekombinant (rEqu c)1 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Horse recombinant (rEqu c) 1 Ab.IgE,k[IU]/L,Qn
64975-6,Cat recombinant (rFel d) 1 IgE Ab [Units/volume] in Serum,Kedi rekombinant (rFel d) 1 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Cat recombinant (rFel d) 1 Ab.IgE,k[IU]/L,Qn
64976-4,Cat recombinant (rFel d) 4 IgE Ab [Units/volume] in Serum,Kedi rekombinant (rFel d) 4 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Cat recombinant (rFel d) 4 Ab.IgE,k[IU]/L,Qn
64977-2,Alternaria alternata recombinant (rAlt a) 6 IgE Ab [Units/volume] in Serum,Alternaria alternata recombinant (rAlt a) 6 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Alternaria alternata recombinant (rAlt a) 6 Ab.IgE,k[IU]/L,Qn
64978-0,Cladosporium herbarum recombinant (rCla h) 8 IgE Ab [Units/volume] in Serum,Cladosporium herbarum rekombinant (rCla h) 8 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Cladosporium herbarum recombinant (rCla h) 8 Ab.IgE,k[IU]/L,Qn
64979-8,Blomia tropicalis recombinant (rBlo t) 5 IgE Ab [Units/volume] in Serum,Cladosporium herbarum recombinant (rCla h) 8 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Blomia tropicalis recombinant (rBlo t) 5 Ab.IgE,k[IU]/L,Qn
6498-0,Neisseria meningitidis serogroup B Ag [Presence] in Cerebral spinal fluid by Latex agglutination,Neisseria meningitidis B Ag:MevcEşik:Zmlı:BOS:Srl:LA,composed,Neisseria meningitidis serogroup B Ag,,Ord
64980-6,American house dust mite recombinant (rDer f) 2 IgE Ab [Units/volume] in Serum,Amerikan ev tozu akarı rekombinant (rDer f) 2 IgE Antikoru [Birim/hacim] Serumda,llm,Dermatophagoides farinae recombinant (rDer f) 2 Ab.IgE,k[IU]/L,Qn
64981-4,Lepidoglyphus destructor recombinant (rLep d) 2 IgE Ab [Units/volume] in Serum,Lepidoglyphus destructor recombinant (rLep d) 2 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Lepidoglyphus destructor recombinant (rLep d) 2 Ab.IgE,k[IU]/L,Qn
64982-2,Cockroach recombinant (rBla g) 1 IgE Ab [Units/volume] in Serum,Blatella germanica recombinant (rBla g) 1 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Blatella germanica recombinant (rBla g) 1 Ab.IgE,k[IU]/L,Qn
64983-0,Cockroach recombinant (rBla g) 2 IgE Ab [Units/volume] in Serum,Blatella germanica recombinant (rBla g) 2 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Blatella germanica recombinant (rBla g) 2 Ab.IgE,k[IU]/L,Qn
64984-8,Cockroach recombinant (rBla g) 5 IgE Ab [Units/volume] in Serum,Blatella germanica recombinant (rBla g) 5 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Blatella germanica recombinant (rBla g) 5 Ab.IgE,k[IU]/L,Qn
64985-5,Anisakis recombinant (rAni s) 1 IgE Ab [Units/volume] in Serum,Anisakis simplex recombinant (rAni s) 1 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Anisakis simplex recombinant (rAni s) 1 Ab.IgE,k[IU]/L,Qn
64986-3,Anisakis recombinant (rAni s) 3 IgE Ab [Units/volume] in Serum,Anisakis simplex recombinant (rAni s) 3 Ab.IgE:SçKons:Zmlı:Ser:Kant,composed,Anisakis simplex recombinant (rAni s) 3 Ab.IgE,k[IU]/L,Qn
64987-1,Race or ethnicity Family member [PhenX],,,Race or ethnicity,,Nom
64988-9,Has a doctor ever told you that your child ever had other eye or vision problems [PhenX],,,Has a doctor ever told you that your child ever had other eye or vision problems,,Ord
64989-7,Other doctor reported eye or vision treatment [PhenX],,,Other doctor reported eye or vision treatment,,Nom
64990-5,"Grade in school, if applicable",,,"Grade in school, if applicable",,Nom
64991-3,Date of observation,"Tarihi, incelemenin:Tarih:Zmlı:^Hasta:Kant",composed,Date of observation,MMDDYY,Qn
64993-9,US Guidance for placement of needle in Unspecified body region,,,Guidance for placement of needle,,Doc
64994-7,Vaccine funding program eligibility category,,,Vaccine funding program eligibility category,,Nom
64995-4,RFA Internal thoracic artery - left Views W contrast IA,,,Views^W contrast IA,,Doc
64996-2,XR Lung - left Views W contrast intrabronchial,,,Views^W contrast intrabronchial,,Doc
64997-0,XR Lung - right Views W contrast intrabronchial,,,Views^W contrast intrabronchial,,Doc
6499-8,Neisseria meningitidis serogroup C Ag [Presence] in Cerebral spinal fluid by Immunoassay,Neisseria meningitidis C Ag:MevcEşik:Zmlı:BOS:Srl:İA,composed,Neisseria meningitidis serogroup C Ag,,Ord
64998-8,RF Guidance for placement of catheter in Fallopian tube - left-- transcervical,,,Guidance for placement of catheter^transcervical,,Doc
64999-6,RF Guidance for placement of catheter in Fallopian tube - right-- transcervical,,,Guidance for placement of catheter^transcervical,,Doc
65000-2,RFA Internal thoracic artery - right Views W contrast IA,,,Views^W contrast IA,,Doc
65001-0,I prefer to do things with others rather than on my own [AQ],,,I prefer to do things with others rather than on my own,,Ord
65002-8,I prefer to do things the same way over and over again [AQ],,,I prefer to do things the same way over and over again,,Ord
6500-3,Neisseria meningitidis serogroup C Ag [Presence] in Cerebral spinal fluid by Latex agglutination,Neisseria meningitidis C Ag:MevcEşik:Zmlı:BOS:Srl:LA,composed,Neisseria meningitidis serogroup C Ag,,Ord
65003-6,If I try to imagine something I find it very easy to create a picture in my mind [AQ],,,If I try to imagine something I find it very easy to create a picture in my mind,,Ord
65004-4,I frequently get so strongly absorbed in one thing that I lose sight of other things [AQ],,,I frequently get so strongly absorbed in one thing that I lose sight of other things,,Ord
65005-1,I often notice small sounds when others do not [AQ],,,I often notice small sounds when others do not,,Ord
65006-9,I usually notice car number plates or similar strings of information [AQ],,,I usually notice car number plates or similar strings of information,,Ord
65007-7,Other people frequently tell me that what I've said is impolite even though I think it is polite [AQ],,,Other people frequently tell me that what I've said is impolite even though I think it is polite,,Ord
65008-5,When I'm reading a story I can easily imagine what the characters might look like [AQ],,,When I'm reading a story I can easily imagine what the characters might look like,,Ord
65009-3,Fascinated dates [AQ],,,I am fascinated by dates,,Ord
65010-1,In a social group I can easily keep track of several different people's conversations [AQ],,,In a social group I can easily keep track of several different people's conversations,,Ord
6501-1,Neisseria meningitidis serogroup C Ag [Presence] in Specimen by Immunofluorescence,Neisseria meningitidis C Ag:MevcEşik:Zmlı:XXX:Srl:IF,composed,Neisseria meningitidis serogroup C Ag,,Ord
65011-9,I find social situations easy [AQ],,,I find social situations easy,,Ord
65012-7,I tend to notice details that others do not [AQ],,,I tend to notice details that others do not,,Ord
65013-5,I would rather go to a library than a party [AQ],,,I would rather go to a library than a party,,Ord
65014-3,I find making up stories easy [AQ],,,I find making up stories easy,,Ord
65015-0,I find myself drawn more strongly to people than to things [AQ],,,I find myself drawn more strongly to people than to things,,Ord
65016-8,I tend to have very strong interests which I get upset about if I can't pursue [AQ],,,I tend to have very strong interests which I get upset about if I can't pursue,,Ord
65017-6,I enjoy social chit-chat [AQ],,,I enjoy social chit-chat,,Ord
65018-4,"When I talk, it isn't always easy for others to get a word in edgeways [AQ]",,,"When I talk, it isn't always easy for others to get a word in edgeways",,Ord
65019-2,I am fascinated by numbers [AQ],,,I am fascinated by numbers,,Ord
650-2,Microscopic observation [Identifier] in Urine by Acid fast stain.Kinyoun,Mikroskopik gözlem [Tanımlayıcı] İdrarda Asit fast boyama.Kinyoun ile,llm,Observation,,Nom
65020-0,When I'm reading a story I find it difficult to work out the characters intentions [AQ],,,When I'm reading a story I find it difficult to work out the characters intentions,,Ord
65021-8,I don't particularly enjoy reading fiction [AQ],,,I don't particularly enjoy reading fiction,,Ord
65022-6,I find it hard to make new friends [AQ],,,I find it hard to make new friends,,Ord
65023-4,I notice patterns in things all the time [AQ],,,I notice patterns in things all the time,,Ord
65024-2,I would rather go to the theatre than a museum [AQ],,,I would rather go to the theatre than a museum,,Ord
65025-9,It does not upset me if my daily routine is disturbed [AQ],,,It does not upset me if my daily routine is disturbed,,Ord
65026-7,I frequently find that I don't know how to keep a conversation going [AQ],,,I frequently find that I don't know how to keep a conversation going,,Ord
65027-5,I find it easy to read between the lines when someone is talking to me [AQ],,,I find it easy to read between the lines when someone is talking to me,,Ord
65028-3,I usually concentrate more on the whole picture rather than the small details [AQ],,,I usually concentrate more on the whole picture rather than the small details,,Ord
6502-9,Neisseria meningitidis serogroup Y Ab [Titer] in Specimen by Immunofluorescence,Neisseria meningitidis serogrup Y Antikor [Titre] Örnekte İmmünfloresan ile,llm,Neisseria meningitidis serogroup Y Ab,{titer},SemiQn
65029-1,I am not very good at remembering phone numbers [AQ],,,I am not very good at remembering phone numbers,,Ord
65030-9,I don't usually notice small changes in a situation or a person's appearance [AQ],,,I don't usually notice small changes in a situation or a person's appearance,,Ord
65031-7,I know how to tell if someone listening to me is getting bored [AQ],,,I know how to tell if someone listening to me is getting bored,,Ord
65032-5,I find it easy to do more than one thing at once [AQ],,,I find it easy to do more than one thing at once,,Ord
65033-3,When I talk on the phone I'm not sure when its my turn to speak [AQ],,,When I talk on the phone I'm not sure when its my turn to speak,,Ord
65034-1,I enjoy doing things spontaneously [AQ],,,I enjoy doing things spontaneously,,Ord
65035-8,I am often the last to understand the point of a joke [AQ],,,I am often the last to understand the point of a joke,,Ord
65036-6,I find it easy to work out what someone is thinking or feeling just by looking at their face [AQ],,,I find it easy to work out what someone is thinking or feeling just by looking at their face,,Ord
6503-7,Neisseria meningitidis serogroup Y Ag [Presence] in Cerebral spinal fluid by Immunoassay,Neisseria meningitidis Y Ag:MevcEşik:Zmlı:BOS:Srl:İA,composed,Neisseria meningitidis serogroup Y Ag,,Ord
65037-4,If there is an interruption I can switch back to what I was doing very quickly [AQ],,,If there is an interruption I can switch back to what I was doing very quickly,,Ord
65038-2,I am good at social chit-chat [AQ],,,I am good at social chit-chat,,Ord
65039-0,People often tell me that I keep going on and on about the same thing [AQ],,,People often tell me that I keep going on and on about the same thing,,Ord
65040-8,When I was young I used to enjoy playing games involving pretending with other children [AQ],,,When I was young I used to enjoy playing games involving pretending with other children,,Ord
65041-6,"I like to collect information about categories of things - types of car, types of bird, types of train, types of plant, etc [AQ]",,,"I like to collect information about categories of things - types of car, types of bird, types of train, types of plant, etc",,Ord
65042-4,I find it difficult to imagine what it would be like to be someone else [AQ],,,I find it difficult to imagine what it would be like to be someone else,,Ord
65043-2,I like to plan any activities I participate in carefully [AQ],,,I like to plan any activities I participate in carefully,,Ord
65044-0,I enjoy social occasions [AQ],,,I enjoy social occasions,,Ord
6504-5,Neisseria meningitidis serogroup Y Ag [Presence] in Cerebral spinal fluid by Immunofluorescence,Neisseria meningitidis Y Ag:MevcEşik:Zmlı:BOS:Srl:IF,composed,Neisseria meningitidis serogroup Y Ag,,Ord
65045-7,I find it difficult to work out peoples intentions [AQ],,,I find it difficult to work out peoples intentions,,Ord
65046-5,New situations make me anxious [AQ],,,New situations make me anxious,,Ord
65047-3,I enjoy meeting new people [AQ],,,I enjoy meeting new people,,Ord
65048-1,I am a good diplomat [AQ],,,I am a good diplomat,,Ord
65049-9,I am not very good at remembering peoples date of birth [AQ],,,I am not very good at remembering peoples date of birth,,Ord
65050-7,I find it very easy to play games with children that involve pretending [AQ],,,I find it very easy to play games with children that involve pretending,,Ord
65051-5,Your child prefers to do things with others rather than on his or her own [AQ Adolescent],,,Your child prefers to do things with others rather than on his or her own,,Ord
6505-2,Neisseria meningitidis serogroup Y Ag [Presence] in Cerebral spinal fluid by Latex agglutination,Neisseria meningitidis Y Ag:MevcEşik:Zmlı:BOS:Srl:LA,composed,Neisseria meningitidis serogroup Y Ag,,Ord
65052-3,Your child prefers to do things the same way over and over again [AQ Adolescent],,,Your child prefers to do things the same way over and over again,,Ord
65053-1,"If your child tries to imagine something, your child finds it very easy to create a picture in his or her mind [AQ Adolescent]",,,"If your child tries to imagine something, your child finds it very easy to create a picture in his or her mind",,Ord
65054-9,Your child frequently gets so strongly absorbed in one thing that your child loses sight of other things [AQ Adolescent],,,Your child frequently gets so strongly absorbed in one thing that your child loses sight of other things,,Ord
65055-6,Your child often notices small sounds when others do not [AQ Adolescent],,,Your child often notices small sounds when others do not,,Ord
65056-4,Your child usually notices car number plates or similar strings of information [AQ Adolescent],,,Your child usually notices car number plates or similar strings of information,,Ord
65057-2,"Other people frequently tell him or her that what your child has said is impolite, even though your child thinks it is polite [AQ Adolescent]",,,"Other people frequently tell him or her that what your child has said is impolite, even though your child thinks it is polite",,Ord
65058-0,"When your child is reading a story, your child can easily imagine what the characters might look like [AQ Adolescent]",,,"When your child is reading a story, your child can easily imagine what the characters might look like",,Ord
65059-8,Your child is fascinated by dates [AQ Adolescent],,,Your child is fascinated by dates,,Ord
6506-0,Neisseria meningitidis serogroup w135 Ag [Presence] in Cerebral spinal fluid by Immunofluorescence,Neisseria meningitidis w135 Ag:MevcEşik:Zmlı:BOS:Srl:IF,composed,Neisseria meningitidis serogroup w135 Ag,,Ord
65060-6,"In a social group, your child can easily keep track of several different peoples conversations [AQ Adolescent]",,,"In a social group, your child can easily keep track of several different peoples conversations",,Ord
65061-4,Your child finds social situations easy [AQ Adolescent],,,Your child finds social situations easy,,Ord
65062-2,Your child tends to notice details that others do not [AQ Adolescent],,,Your child tends to notice details that others do not,,Ord
65063-0,Your child would rather go to a library than a party [AQ Adolescent],,,Your child would rather go to a library than a party,,Ord
65064-8,Your child finds making up stories easy [AQ Adolescent],,,Your child finds making up stories easy,,Ord
65065-5,Your child finds him or herself drawn more strongly to people than to things [AQ Adolescent],,,Your child finds him or herself drawn more strongly to people than to things,,Ord
65066-3,"Your child tends to have very strong interests, which your child gets upset about if your child can't pursue [AQ Adolescent]",,,"Your child tends to have very strong interests, which your child gets upset about if your child can't pursue",,Ord
65067-1,Your child enjoys social chit-chat [AQ Adolescent],,,Your child enjoys social chit-chat,,Ord
65068-9,"When your child talks, it isn't always easy for others to get a word in edgeways [AQ Adolescent]",,,"When your child talks, it isn't always easy for others to get a word in edgeways",,Ord
65069-7,Your child is fascinated by numbers [AQ Adolescent],,,Your child is fascinated by numbers,,Ord
65070-5,"When your child is reading a story, your child finds it difficult to work out the characters' intentions [AQ Adolescent]",,,"When your child is reading a story, your child finds it difficult to work out the characters' intentions",,Ord
65071-3,Your child doesn't particularly enjoy reading fiction [AQ Adolescent],,,Your child doesn't particularly enjoy reading fiction,,Ord
65072-1,Your child finds it hard to make new friends [AQ Adolescent],,,Your child finds it hard to make new friends,,Ord
65073-9,Your child notices patterns in things all the time [AQ Adolescent],,,Your child notices patterns in things all the time,,Ord
65074-7,Your child would rather go to the theatre than a museum [AQ Adolescent],,,Your child would rather go to the theatre than a museum,,Ord
65075-4,It does not upset your child if the daily routine is disturbed [AQ Adolescent],,,It does not upset your child if the daily routine is disturbed,,Ord
65076-2,Your child frequently finds that he or she doesn't know how to keep a conversation going [AQ Adolescent],,,Your child frequently finds that he or she doesn't know how to keep a conversation going,,Ord
65077-0,Your child finds it easy to read between the lines when someone is talking to her or him [AQ Adolescent],,,Your child finds it easy to read between the lines when someone is talking to her or him,,Ord
6507-8,Neisseria meningitidis serogroup w135 Ag [Presence] in Cerebral spinal fluid by Latex agglutination,Neisseria meningitidis w135 Ag:MevcEşik:Zmlı:BOS:Srl:LA,composed,Neisseria meningitidis serogroup w135 Ag,,Ord
65078-8,"Your child usually concentrates more on the whole picture, rather than the small details [AQ Adolescent]",,,"Your child usually concentrates more on the whole picture, rather than the small details",,Ord
65079-6,Your child is not very good at remembering phone numbers [AQ Adolescent],,,Your child is not very good at remembering phone numbers,,Ord
65080-4,"Your child doesn't usually notice small changes in a situation, or a person's appearance [AQ Adolescent]",,,"Your child doesn't usually notice small changes in a situation, or a person's appearance",,Ord
65081-2,Your child knows how to tell if someone listening to them is getting bored [AQ Adolescent],,,Your child knows how to tell if someone listening to them is getting bored,,Ord
65082-0,Your child finds it easy to do more than one thing at once [AQ Adolescent],,,Your child finds it easy to do more than one thing at once,,Ord
65083-8,"When your child talks on the phone, he or she is not sure when its their turn to speak [AQ Adolescent]",,,"When your child talks on the phone, he or she is not sure when its their turn to speak",,Ord
65084-6,Your child enjoys doing things spontaneously [AQ Adolescent],,,Your child enjoys doing things spontaneously,,Ord
65085-3,Your child is often the last to understand the point of a joke [AQ Adolescent],,,Your child is often the last to understand the point of a joke,,Ord
6508-6,Neisseria meningitidis Ag [Presence] in Cerebral spinal fluid,Neisseria meningitidis Ag:MevcEşik:Zmlı:BOS:Srl,composed,Neisseria meningitidis Ag,,Ord
65086-1,Your child finds it easy to work out what someone is thinking or feeling just by looking at their face [AQ Adolescent],,,Your child finds it easy to work out what someone is thinking or feeling just by looking at their face,,Ord
65087-9,"If there is an interruption, your child can switch back to what he or she was doing very quickly [AQ Adolescent]",,,"If there is an interruption, your child can switch back to what he or she was doing very quickly",,Ord
65088-7,Your child is good at social chit-chat [AQ Adolescent],,,Your child is good at social chit-chat,,Ord
65089-5,People often tell them that your child keeps going on and on about the same thing [AQ Adolescent],,,People often tell them that your child keeps going on and on about the same thing,,Ord
65090-3,"When your child was younger, he or she used to enjoy playing games involving pretending with other children [AQ Adolescent]",,,"When your child was younger, he or she used to enjoy playing games involving pretending with other children",,Ord
65091-1,"Your child likes to collect information about categories of things, types of car, types of bird, types of train, types of plant, etc [AQ Adolescent]",,,"Your child likes to collect information about categories of things, types of car, types of bird, types of train, types of plant, etc",,Ord
65092-9,Your child finds it difficult to imagine what it would be like to be someone else [AQ Adolescent],,,Your child finds it difficult to imagine what it would be like to be someone else,,Ord
65093-7,Your child likes to plan any activities he or she participates in carefully [AQ Adolescent],,,Your child likes to plan any activities he or she participates in carefully,,Ord
6509-4,Neisseria meningitidis rRNA [Presence] in Cerebral spinal fluid by Probe,Neisseria meningitidis rRNA:MevcEşik:Zmlı:BOS:Srl:Prob,composed,Neisseria meningitidis rRNA,,Ord
65094-5,Your child enjoys social occasions [AQ Adolescent],,,Your child enjoys social occasions,,Ord
65095-2,Your child finds it difficult to work out peoples intentions [AQ Adolescent],,,Your child finds it difficult to work out peoples intentions,,Ord
65096-0,New situations make your child anxious [AQ Adolescent],,,New situations make your child anxious,,Ord
65097-8,Your child enjoys meeting new people [AQ Adolescent],,,Your child enjoys meeting new people,,Ord
65098-6,Your child is a good diplomat [AQ Adolescent],,,Your child is a good diplomat,,Ord
65099-4,Your child is not very good at remembering peoples date of birth [AQ Adolescent],,,Your child is not very good at remembering peoples date of birth,,Ord
651-0,Microscopic observation [Identifier] in Urine by Acid fast stain.Kinyoun modified,Mikroskopik gözlem [Tanımlayıcı] İdrarda Asit fast boyama.Modifiye Kinyoun ile,llm,Observation,,Nom
