atc_code,description_en,description_tr,description_tr_source
H01BA03,lypressin,lipressin,llm
H01BA04,terlipressin,terlipressin asetat,titck
H01BA05,ornipressin,ornipressin,llm
H01BB01,demoxytocin,demoksitosin,llm
H01BB02,oxytocin,oksitosin,titck
H01BB03,carbetocin,karbetosin,titck
H01CA01,gonadorelin,gonadorelin,llm
H01CA02,nafarelin,nafarelin asetat,titck
H01CB01,somatostatin,somatostatin,titck
H01CB02,octreotide,oktreotid asetat,titck
H01CB03,lanreotide,lanreotid asetat,titck
H01CB04,vapreotide,vapreotid,llm
H01CB05,pasireotide,pasireotid asetat,titck
H01CB06,paltusotine,paltusotin,llm
H01CC01,ganirelix,ganirelix,titck
H01CC02,cetrorelix,cetrorelix,titck
H01CC03,elagolix,elagoliks,llm
H01CC04,linzagolix,linzagoliks,llm
H01CC53,"elagolix, estradiol and norethisterone","elagoliks, estradiol ve noretisteron",llm
H01CC54,"relugolix, estradiol and norethisterone","relugoliks, estradiol ve noretisteron",llm
H02AA01,aldosterone,aldosteron,llm
H02AA02,fludrocortisone,fludrokortizon,titck
H02AA03,desoxycortone,desoksikorton,llm
H02AB01,betamethasone,betametazon,titck
H02AB02,dexamethasone,deksametazon,titck
H02AB03,fluocortolone,fluokortolon,llm
H02AB04,methylprednisolone,metilprednizolon,titck
H02AB05,paramethasone,parametazon,llm
H02AB06,prednisolone,prednisolon,titck
H02AB07,prednisone,prednizon,titck
H02AB08,triamcinolone,triamcinolone,titck
H02AB09,hydrocortisone,hidrokortizon sodyum süksinat,titck
H02AB10,cortisone,kortizon,llm
H02AB11,prednylidene,predniliden,llm
H02AB12,rimexolone,rimeksolon,llm
H02AB13,deflazacort,deflazakort,titck
H02AB14,cloprednol,kloprednol,llm
H02AB15,meprednisone,meprednizon,llm
H02AB17,cortivazol,kortivazol,llm
H02AB18,vamorolone,vamorolon,llm
H02BX01,"methylprednisolone, combinations","metilprednizolon, kombinasyonlar",llm
H02CA01,trilostane,trilostan,llm
H02CA02,osilodrostat,osilodrostat,llm
H02CA03,ketoconazole,ketokonazol,llm
H02CA04,levoketoconazole,levoketokonazol,llm
H03AA01,levothyroxine sodium,levotiroksin sodyum,titck
H03AA02,liothyronine sodium,liothyronine sodium,titck
H03AA03,combinations of levothyroxine and liothyronine,combinations of levothyroxine and liothyronine,titck
H03AA04,tiratricol,tiratrikol,llm
H03AA05,thyroid gland preparations,tiroid bezi preparatları,llm
H03AA51,levothyroxine sodium and iodine compounds,levotiroksin sodyum ve iyot bileşikleri,llm
H03BA01,methylthiouracil,metiltiyourasil,llm
H03BA02,propylthiouracil,propylthiouracil,titck
H03BA03,benzylthiouracil,benziltiyourasil,llm
H03BB01,carbimazole,karbimazol,llm
H03BB02,thiamazole,tiyamazol (metimazol),titck
H03BB52,"thiamazole, combinations","tiyamazol, kombinasyonlar",llm
H03BC01,potassium perchlorate,potasyum perklorat,llm
H03BX01,diiodotyrosine,diiyodotirozin,llm
H03BX02,dibromotyrosine,dibromotirozin,llm
H04AA01,glucagon,glucagon,titck
H04AA02,dasiglucagon,dasiglukagon,llm
H05AA01,parathyroid gland extract,paratiroid bezi ekstresi,llm
H05AA02,teriparatide,teriparatid,titck
H05AA03,parathyroid hormone,paratiroid hormonu,llm
H05AA04,abaloparatide,abaloparatid,llm
H05AA05,palopegteriparatide,palopegteriparatid,llm
H05BA01,calcitonin (salmon synthetic),calcitonin (salmon synthetic),titck
H05BA02,calcitonin (pork natural),kalsitonin (domuz doğal),llm
H05BA03,calcitonin (human synthetic),kalsitonin (insan sentetik),llm
H05BA04,elcatonin,elkatonin,llm
H05BX01,cinacalcet,sinakalset hcl,titck
H05BX02,paricalcitol,parikalsitol,titck
H05BX03,doxercalciferol,dokserkalsiferol,llm
H05BX04,etelcalcetide,etelkalsetid hidroklorür,titck
H05BX05,calcifediol,kalsifediol,llm
H05BX06,evocalcet,evokalset,llm
J01AA01,demeclocycline,demetilklortetrasiklin hcl,titck
J01AA02,doxycycline,doksisiklin,titck
J01AA03,chlortetracycline,klortetrasiklin,llm
J01AA04,lymecycline,limesiklin,llm
J01AA05,metacycline,metasiklin,llm
J01AA06,oxytetracycline,oksitetrasiklin,llm
J01AA07,tetracycline,tetracycline,titck
J01AA08,minocycline,minosiklin,llm
J01AA09,rolitetracycline,rolitetrasiklin,llm
J01AA10,penimepicycline,penimepisiklin,llm
J01AA11,clomocycline,klomosiklin,llm
J01AA12,tigecycline,tigesiklin,titck
J01AA13,eravacycline,eravasiklin,llm
J01AA14,sarecycline,saresiklin,llm
J01AA15,omadacycline,omadasiklin,llm
J01AA20,combinations of tetracyclines,tetrasiklin kombinasyonları,llm
J01AA56,"oxytetracycline, combinations","oksitetrasiklin, kombinasyonlar",llm
J01BA01,chloramphenicol,kloramfenikol,titck
J01BA02,thiamphenicol,tiamfenikol,titck
J01BA52,"thiamphenicol, combinations","tiamfenikol, kombinasyonlar",llm
J01CA01,ampicillin,ampisilin,titck
J01CA02,pivampicillin,pivampisilin,llm
J01CA03,carbenicillin,karbenisilin,llm
J01CA04,amoxicillin,amoksisilin,titck
J01CA05,carindacillin,karindasilin,llm
J01CA06,bacampicillin,bacampicillin,titck
J01CA07,epicillin,episilin,llm
J01CA08,pivmecillinam,pivmesilinam hidroklorür,titck
J01CA09,azlocillin,azlosilin,llm
J01CA10,mezlocillin,mezlosilin,llm
J01CA11,mecillinam,mesilinam,llm
J01CA12,piperacillin,piperasilin,llm
J01CA13,ticarcillin,tikarsilin,llm
J01CA14,metampicillin,metampisilin,llm
J01CA15,talampicillin,talampisilin,llm
J01CA16,sulbenicillin,sulbenisilin,llm
J01CA17,temocillin,temosilin,llm
J01CA18,hetacillin,hetasilin,llm
J01CA19,aspoxicillin,aspoksisilin,llm
J01CA20,combinations,kombinasyonlar,llm
J01CA51,"ampicillin, combinations","ampicillin trihidrat, piridyum",titck
J01CE01,benzylpenicillin,penisilin g potasyum kristalize,titck
J01CE02,phenoxymethylpenicillin,fenoksimetilpenisilin potasyum,titck
J01CE03,propicillin,propisilin,llm
J01CE04,azidocillin,azidosilin,llm
J01CE05,pheneticillin,fenetisilin,llm
J01CE06,penamecillin,penamesilin,llm
J01CE07,clometocillin,klometosilin,llm
J01CE08,benzathine benzylpenicillin,benzathine benzylpenicillin,titck
J01CE09,procaine benzylpenicillin,prokain benzilpenisilin,llm
J01CE10,benzathine phenoxymethylpenicillin,fenoksimetilpenisilin benzatin,titck
J01CE30,combinations,"prokain penisilin, potasyum penislin",titck
J01CF01,dicloxacillin,dikloksasilin,llm
J01CF02,cloxacillin,kloksasilin,llm
J01CF03,meticillin,metisilin,llm
J01CF04,oxacillin,oksasilin,llm
J01CF05,flucloxacillin,flukloksasilin,titck
J01CF06,nafcillin,nafsilin,llm
J01CG01,sulbactam,sulbaktam sodyum,titck
J01CG02,tazobactam,tazobaktam,llm
J01CG30,sulbactam and durlobactam,sulbaktam ve durlobaktam,llm
J01CR01,ampicillin and beta-lactamase inhibitor,ampicillin and enzyme inhibitor,titck
J01CR02,amoxicillin and beta-lactamase inhibitor,amoksisilin ve klavulanik asit,titck
J01CR03,ticarcillin and beta-lactamase inhibitor,tikarsilin ve beta-laktamaz inhibitörü,llm
J01CR04,sultamicillin,sultamicillin,titck
J01CR05,piperacillin and beta-lactamase inhibitor,"piperasilin sodyum, tazobaktam sodyum",titck
J01CR50,combinations of penicillins,penisilin kombinasyonları,llm
J01DB01,cefalexin,sefaleksin monohidrat,titck
J01DB02,cefaloridine,sefaloridin,llm
J01DB03,cefalotin,sefalotin,llm
J01DB04,cefazolin,cefazolin,titck
J01DB05,cefadroxil,sefadroksil monohidrat,titck
J01DB06,cefazedone,sefazedon,llm
J01DB07,cefatrizine,sefatrizin,llm
J01DB08,cefapirin,sefapirin,llm
J01DB09,cefradine,cephradine,titck
J01DB10,cefacetrile,sefasetril sodyum,titck
J01DB11,cefroxadine,sefroksadin,llm
J01DB12,ceftezole,seftezol,llm
J01DC01,cefoxitin,sefoksitin,llm
J01DC02,cefuroxime,sefuroksim aksetil,titck
J01DC03,cefamandole,sefamandol,llm
J01DC04,cefaclor,sefaklor monohidrat,titck
J01DC05,cefotetan,sefotetan,llm
J01DC06,cefonicid,sefonisid,llm
J01DC07,cefotiam,sefotiam,llm
J01DC08,loracarbef,lorakarbef,llm
J01DC09,cefmetazole,sefmetazol,llm
J01DC10,cefprozil,sefprozil monohidrat,titck
J01DC11,ceforanide,seforanid,llm
J01DC12,cefminox,sefminoks,llm
J01DC13,cefbuperazone,sefbuperazon,llm
J01DC14,flomoxef,flomoksef,llm
J01DC52,cefuroxime and beta-lactamase inhibitor,sefuroksim ve beta-laktamaz inhibitörü,llm
J01DD01,cefotaxime,cefotaxime,titck
J01DD02,ceftazidime,ceftazidime,titck
J01DD03,cefsulodin,sefsulodin,llm
J01DD04,ceftriaxone,seftriakson sodyum,titck
J01DD05,cefmenoxime,sefmenoksim,llm
J01DD06,latamoxef,latamoksef,llm
J01DD07,ceftizoxime,seftizoksim sodyum,titck
J01DD08,cefixime,sefiksim,titck
J01DD09,cefodizime,sefodizim,llm
J01DD10,cefetamet,sefetamet,llm
J01DD11,cefpiramide,sefpiramid,llm
J01DD12,cefoperazone,sefoperazon sodyum,titck
J01DD13,cefpodoxime,sefpodoksim proksetil,titck
J01DD14,ceftibuten,ceftibuten,titck
J01DD15,cefdinir,sefdinir,titck
J01DD16,cefditoren,sefditoren pivoksil,titck
J01DD17,cefcapene,sefkapen,llm
J01DD18,cefteram,sefteram,llm
J01DD51,cefotaxime and beta-lactamase inhibitor,sefotaksim ve beta-laktamaz inhibitörü,llm
J01DD52,ceftazidime and beta-lactamase inhibitor,"seftazidim pentahidrat, avibaktam sodyum",titck
J01DD54,"ceftriaxone, combinations","seftriakson, kombinasyonlar",llm
J01DD58,cefixime and beta-lactamase inhibitor,sefiksim ve beta-laktamaz inhibitörü,llm
J01DD62,cefoperazone and beta-lactamase inhibitor,sefoperazon sodyum+sulbaktam sodyum,titck
J01DD63,ceftriaxone and beta-lactamase inhibitor,seftriakson ve beta-laktamaz inhibitörü,llm
J01DD64,cefpodoxime and beta-lactamase inhibitor,sefpodoksim ve kalvulanik asit,titck
J01DE01,cefepime,sefepim hcl,titck
J01DE02,cefpirome,sefpirom,llm
J01DE03,cefozopran,sefozopran,llm
J01DE51,cefepime and beta-lactamase inhibitor,sefepim ve beta-laktamaz inhibitörü,llm
J01DF01,aztreonam,aztreonam,llm
J01DF02,carumonam,karumonam,llm
J01DF51,aztreonam and beta-lactamase inhibitor,aztreonam ve beta-laktamaz inhibitörü,llm
J01DH02,meropenem,meropenem trihidrat,titck
J01DH03,ertapenem,ertapenem,titck
J01DH04,doripenem,doripenem,llm
J01DH05,biapenem,biapenem,llm
J01DH06,tebipenem pivoxil,tebipenem pivoksil,llm
J01DH51,imipenem and cilastatin,imipenem and enzyme inhibitor,titck
J01DH52,meropenem and vaborbactam,meropenem ve vaborbaktam,llm
J01DH55,panipenem and betamipron,panipenem ve betamipron,llm
J01DH56,"imipenem, cilastatin and relebactam","imipenem, silastatin ve relebaktam",llm
J01DI01,ceftobiprole medocaril,seftobiprol medokaril,llm
J01DI02,ceftaroline fosamil,seftarolin fosamil,llm
J01DI03,faropenem,faropenem,llm
J01DI04,cefiderocol,sefiderokol,llm
J01DI54,ceftolozane and beta-lactamase inhibitor,"seftolozan sükfat, tazobaktam sodyum",titck
J01DI55,sulopenem and probenecid,sulopenem ve probenesid,llm
J01EA01,trimethoprim,trimetoprim,llm
J01EA02,brodimoprim,brodimoprim,llm
J01EA03,iclaprim,iklaprim,llm
J01EB01,sulfaisodimidine,sulfaizodimidin,llm
J01EB02,sulfamethizole,sulfametizol,llm
J01EB03,sulfadimidine,sulfadimidin,llm
J01EB04,sulfapyridine,sulfapiridin,llm
J01EB05,sulfafurazole,sulfafurazol,llm
J01EB06,sulfanilamide,sulfanilamid,llm
J01EB07,sulfathiazole,sulfatiazol,llm
J01EB08,sulfathiourea,sulfatioüre,llm
J01EB20,combinations,kombinasyonlar,llm
J01EC01,sulfamethoxazole,sulfametoksazol,llm
J01EC02,sulfadiazine,sulfadiazin,llm
J01EC03,sulfamoxole,sulfamoksol,llm
J01EC20,combinations,kombinasyonlar,llm
J01ED01,sulfadimethoxine,sulfadimetoksin,llm
J01ED02,sulfalene,sulfalen,llm
J01ED03,sulfametomidine,sulfametomidin,llm
J01ED04,sulfametoxydiazine,sulfametoksidiazin,llm
J01ED05,sulfamethoxypyridazine,sulfametoksipiridazin,llm
J01ED06,sulfaperin,sulfaperin,llm
J01ED07,sulfamerazine,sulfamerazin,llm
J01ED08,sulfaphenazole,sulfafenazol,llm
J01ED09,sulfamazone,sulfamazon,llm
J01ED20,combinations,kombinasyonlar,llm
J01EE01,sulfamethoxazole and trimethoprim,sulfamethoxazole and trimethoprim,titck
J01EE02,sulfadiazine and trimethoprim,sulfadiazin ve trimetoprim,llm
J01EE03,sulfametrole and trimethoprim,sulfametrol ve trimetoprim,llm
J01EE04,sulfamoxole and trimethoprim,sulfamoksol ve trimetoprim,llm
J01EE05,sulfadimidine and trimethoprim,sulfadimidin ve trimetoprim,llm
J01EE06,sulfadiazine and tetroxoprim,sulfadiazin ve tetroksoprim,llm
J01EE07,sulfamerazine and trimethoprim,sulfamerazin ve trimetoprim,llm
J01FA01,erythromycin,eritromisin estolat,titck
J01FA02,spiramycin,spiramisin,titck
J01FA03,midecamycin,midekamisin,llm
J01FA05,oleandomycin,oleandomisin,llm
J01FA06,roxithromycin,roksitromisin,titck
J01FA07,josamycin,josamisin,llm
J01FA08,troleandomycin,troleandomisin,llm
J01FA09,clarithromycin,klaritromisin,titck
J01FA10,azithromycin,azitromisin dihidrat,titck
J01FA11,miocamycin,miokamisin,llm
J01FA12,rokitamycin,rokitamisin,llm
J01FA13,dirithromycin,diritromisin,titck
J01FA14,flurithromycin,fluritromisin,llm
J01FA15,telithromycin,telitromisin,llm
J01FA16,solithromycin,solitromisin,llm
J01FA17,nafithromycin,nafitromisin,llm
J01FF01,clindamycin,clindamycin,titck
J01FF02,lincomycin,linkomisin hcl,titck
J01FG01,pristinamycin,pristinamisin,llm
J01FG02,quinupristin/dalfopristin,kinupristin/dalfopristin,llm
J01GA01,streptomycin,streptomisin sülfat,titck
J01GA02,streptoduocin,streptoduosin,llm
J01GB01,tobramycin,tobramisin,titck
J01GB03,gentamicin,gentamisin,titck
J01GB04,kanamycin,kanamisin,titck
J01GB05,neomycin,neomisin,llm
J01GB06,amikacin,amikasin sülfat,titck
J01GB07,netilmicin,netilmisin,llm
J01GB08,sisomicin,sisomisin,llm
J01GB09,dibekacin,dibekasin,llm
J01GB10,ribostamycin,ribostamisin,llm
J01GB11,isepamicin,isepamisin,llm
J01GB12,arbekacin,arbekasin,llm
J01GB13,bekanamycin,bekanamisin,llm
J01GB14,plazomicin,plazomisin,llm
J01MA01,ofloxacin,ofloksasin,titck
J01MA02,ciprofloxacin,siprofloksasin laktat,titck
J01MA03,pefloxacin,pefloksasin,llm
J01MA04,enoxacin,enoksasin,titck
J01MA05,temafloxacin,temafloksasin,llm
J01MA06,norfloxacin,norfloksasin,llm
J01MA07,lomefloxacin,lomefloksasin,llm
J01MA08,fleroxacin,fleroksasin,llm
J01MA09,sparfloxacin,sparfloksasin,llm
J01MA10,rufloxacin,rufloksasin,llm
J01MA11,grepafloxacin,grepafloksasin,llm
J01MA12,levofloxacin,levofloksasin hemihidrat,titck
J01MA13,trovafloxacin,trovafloksasin,llm
J01MA14,moxifloxacin,moksifloksasin hidroklorür,titck
J01MA15,gemifloxacin,gemifloksasin,llm
J01MA16,gatifloxacin,gatifloksasin,llm
J01MA17,prulifloxacin,prulifloksasin,llm
J01MA18,pazufloxacin,pazufloksasin,llm
J01MA19,garenoxacin,garenoksasin,llm
J01MA21,sitafloxacin,sitafloksasin,llm
J01MA22,tosufloxacin,tosufloksasin,llm
J01MA23,delafloxacin,delafloksasin meglumin,titck
J01MA24,levonadifloxacin,levonadifloksasin,llm
J01MA25,lascufloxacin,laskufloksasin,llm
J01MB01,rosoxacin,rosoksasin,llm
J01MB02,nalidixic acid,nalidiksik asit,titck
J01MB03,piromidic acid,piromidik asit,llm
J01MB04,pipemidic acid,pipemidik asit,llm
J01MB05,oxolinic acid,oksolinik asit,titck
J01MB06,cinoxacin,sinoksasin,llm
J01MB07,flumequine,flumekin,llm
J01MB08,nemonoxacin,nemonoksasin,llm
J01RA01,"penicillins, combinations with other antibacterials","penisilinler, diğer antibakteriyellerle kombinasyonlar",llm
J01RA02,"sulfonamides, combinations with other antibacterials (excl. trimethoprim)","sulfonamidler, diğer antibakteriyellerle kombinasyonlar (trimetoprim hariç)",llm
J01RA03,cefuroxime and metronidazole,sefuroksim ve metronidazol,llm
J01RA04,spiramycin and metronidazole,spiramicin ve metronidazol,titck
J01RA05,levofloxacin and ornidazole,levofloksasin ve ornidazol,llm
J01RA06,cefepime and amikacin,sefepim ve amikasin,llm
J01RA07,"azithromycin, fluconazole and secnidazole","azitromisin, flukonazol ve seknidazol",llm
J01RA08,tetracycline and oleandomycin,tetrasiklin ve oleandomisin,llm
J01RA09,ofloxacin and ornidazole,ofloksasin ve ornidazol,llm
J01RA10,ciprofloxacin and metronidazole,siprofloksasin ve metronidazol,llm
J01RA11,ciprofloxacin and tinidazole,siprofloksasin ve tinidazol,llm
J01RA12,ciprofloxacin and ornidazole,ornidazol/siprofloksasin hci,titck
J01RA13,norfloxacin and tinidazole,norfloksasin ve tinidazol,llm
J01RA14,norfloxacin and metronidazole,norfloksasin ve metronidazol,llm
J01RA15,cefixime and ornidazole,sefiksim ve ornidazol,llm
J01RA16,cefixime and azithromycin,sefiksim ve azitromisin,llm
J01RA17,ofloxacin and nitazoxanide,ofloksasin ve nitazoksanid,llm
J01RA18,ofloxacin and tinidazole,ofloksasin ve tinidazol,llm
J01RA19,tetracycline and nystatin,tetrasiklin ve nistatin,llm
J01XA01,vancomycin,vankomisin hidroklorür,titck
J01XA02,teicoplanin,teikoplanin,titck
J01XA03,telavancin,telavansin,llm
J01XA04,dalbavancin,dalbavansin,llm
J01XA05,oritavancin,oritavansin,llm
J01XB01,colistin,kolistimetat sodyum,titck
J01XB02,polymyxin B,polimiksin b sulfat,titck
J01XC01,fusidic acid,sodyum fusidat,titck
J01XD01,metronidazole,metronidazol,titck
J01XD02,tinidazole,tinidazol,llm
J01XD03,ornidazole,ornidazol,titck
J01XE01,nitrofurantoin,nitrofurantoin,titck
J01XE02,nifurtoinol,nifurtoinol,llm
J01XE03,furazidin,furazidin,llm
J01XE51,"nitrofurantoin, combinations","nitrofurantoin, kombinasyonlar",llm
J01XX01,fosfomycin,fosfomisin trometamol,titck
J01XX02,xibornol,ksibornol,llm
J01XX03,clofoctol,klofoktol,llm
J01XX04,spectinomycin,spektinomisin,llm
J01XX05,methenamine,metenamin anhidrometilen sitrat,titck
J01XX06,mandelic acid,mandelik asit,llm
J01XX07,nitroxoline,nitroksolin,llm
J01XX08,linezolid,linezolid,titck
J01XX09,daptomycin,daptomisin,titck
J01XX10,bacitracin,basitrasin,llm
J01XX11,tedizolid,tedizolid,llm
J01XX12,lefamulin,lefamulin,llm
J01XX13,gepotidacin,gepotidasin,llm
J02AA01,amphotericin B,lipozomal amfoterisin b,titck
J02AA02,hachimycin,hasimisin,llm
J02AB01,miconazole,mikonazol,llm
J02AB02,ketoconazole,ketoconazole,titck
J02AC01,fluconazole,flukonazol,titck
J02AC02,itraconazole,itrakonazol,titck
J02AC03,voriconazole,vorikonazol,titck
J02AC04,posaconazole,posakonazol,titck
J02AC05,isavuconazole,isavukonazol,llm
J02AC06,oteseconazole,otesekonazol,llm
J02AX01,flucytosine,flusitozin,llm
J02AX04,caspofungin,kaspofungin asetat,titck
J02AX05,micafungin,mikafungin sodyum,titck
J02AX06,anidulafungin,anidulafungin,titck
J02AX07,ibrexafungerp,ibreksafungerp,llm
J02AX08,rezafungin acetate,rezafungin asetat,llm
J04AA01,4-aminosalicylic acid,4-aminosalisilik asit,llm
J04AA02,sodium aminosalicylate,para-aminosalisilik asit sodyum tuzu,titck
J04AA03,calcium aminosalicylate,kalsiyum aminosalisilat,llm
J04AB01,cycloserine,sikloserin,titck
J04AB02,rifampicin,rifampisin,titck
J04AB03,rifamycin,rifamisin,titck
J04AB04,rifabutin,rifabutin,titck
J04AB05,rifapentine,rifapentin,llm
J04AB06,enviomycin,enviomisin,llm
J04AB30,capreomycin,kapreomisin,llm
J04AC01,isoniazid,izoniyazid,titck
J04AC02,ftivazide,ftivazid,llm
J04AC51,"isoniazid, combinations",izonikotinik asit hidrazid/piridoksin hcl,titck
J04AD01,protionamide,protionamide,titck
J04AD02,tiocarlide,tiokarlid,llm
J04AD03,ethionamide,ethionamide,titck
J04AK01,pyrazinamide,pirazinamid,titck
J04AK02,ethambutol,etambutol hidroklorür,titck
J04AK03,terizidone,terizidon,llm
J04AK04,morinamide,morfozinamid,titck
J04AK05,bedaquiline,bedakuilin,titck
J04AK06,delamanid,delamanid,titck
J04AK07,thioacetazone,thioacetazone,titck
J04AK08,pretomanid,pretomanid,llm
J04AM01,streptomycin and isoniazid,streptomisin ve izoniazid,llm
J04AM02,rifampicin and isoniazid,rifampisin ve izoniazid,llm
J04AM03,ethambutol and isoniazid,etambutol ve izoniazid,llm
J04AM04,thioacetazone and isoniazid,tioasetazon ve izoniazid,llm
J04AM05,"rifampicin, pyrazinamide and isoniazid","rifampisin, pirazinamid ve izoniazid",llm
J04AM06,"rifampicin, pyrazinamide, ethambutol and isoniazid","rifampisin, pirazinamid, etambutol ve izoniazid",llm
J04AM07,"rifampicin, ethambutol and isoniazid","rifampisin, etambutol ve izoniazid",llm
J04AM08,"isoniazid, sulfamethoxazole and trimethoprim","izoniazid, sulfametoksazol ve trimetoprim",llm
J04AM09,"pyrazinamide, ethambutol, isoniazid and lomefloxacin","pirazinamid, etambutol, izoniazid ve lomefloksasin",llm
J04AM10,"pyrazinamide, ethambutol, protionamide and lomefloxacin","pirazinamid, etambutol, protionamid ve lomefloksasin",llm
J04AM11,"rifabutin, pyrazinamide and protionamide","rifabutin, pirazinamid ve protionamid",llm
J04AM12,"rifampicin, pyrazinamide, isoniazid and levofloxacin","rifampisin, pirazinamid, izoniazid ve levofloksasin",llm
J04BA01,clofazimine,klofazimin,llm
J04BA02,dapsone,dapson,llm
J04BA03,aldesulfone sodium,aldesulfon sodyum,llm
J04BA50,dapsone and rifampicin,dapson ve rifampisin,llm
J04BA51,"dapsone, rifampicin and clofazimine","dapson, rifampisin ve klofazimin",llm
J05AA01,metisazone,metisazon,llm
J05AB01,aciclovir,asiklovir,titck
J05AB02,idoxuridine,idoksuridin,llm
J05AB03,vidarabine,vidarabin,llm
J05AB06,ganciclovir,gansiklovir sodyum,titck
J05AB09,famciclovir,famciclovir,titck
J05AB11,valaciclovir,valaciclovir,titck
J05AB12,cidofovir,sidofovir dihidrat,titck
J05AB13,penciclovir,pensiklovir,llm
J05AB14,valganciclovir,valgansiklovir hcl,titck
J05AB15,brivudine,brivudin,titck
J05AB16,remdesivir,remdesivir,titck
J05AB17,brincidofovir,brinsidofovir,llm
J05AB18,molnupiravir,molnupiravir,llm
J05AC02,rimantadine,rimantadin,llm
J05AC03,tromantadine,tromantadin,llm
J05AD01,foscarnet,foskarnet sodyum hekzahidrat,titck
J05AD02,fosfonet,fosfonet,llm
J05AE01,saquinavir,sakuinavir,llm
J05AE02,indinavir,indinavir,llm
J05AE03,ritonavir,ritonavir,titck
J05AE04,nelfinavir,nelfinavir,llm
J05AE05,amprenavir,amprenavir,llm
J05AE07,fosamprenavir,fosamprenavir,titck
J05AE08,atazanavir,atazanavir,llm
J05AE09,tipranavir,tipranavir,llm
J05AE10,darunavir,darunavir,titck
J05AE16,ensitrelvir,ensitrelvir,llm
J05AE30,nirmatrelvir and ritonavir,"nirmatrelvir,  ritonavir",titck
J05AF01,zidovudine,zidovudine,titck
J05AF02,didanosine,didanozin,llm
J05AF03,zalcitabine,zalsitabin,llm
J05AF04,stavudine,stavudin,llm
J05AF05,lamivudine,lamivudin,titck
J05AF06,abacavir,abakavir,titck
J05AF07,tenofovir disoproxil,tenofovir disoproksil fumarat,titck
J05AF08,adefovir dipivoxil,adefovir dipivoksil,titck
J05AF09,emtricitabine,emtrisitabin,llm
J05AF10,entecavir,entekavir monohidrat,titck
J05AF11,telbivudine,telbivudin,llm
J05AF12,clevudine,klevudin,llm
J05AF13,tenofovir alafenamide,tenofovir alafenamid fumarat,titck
J05AG01,nevirapine,nevirapine,titck
J05AG02,delavirdine,delavirdin,llm
J05AG03,efavirenz,efavirenz,titck
J05AG04,etravirine,etravirin,titck
J05AG05,rilpivirine,rilpivirin,titck
J05AG06,doravirine,doravirin,titck
J05AG07,elsulfavirine,elsulfavirin,llm
J05AH01,zanamivir,zanamivir,titck
J05AH02,oseltamivir,oseltamivir fosfat,titck
J05AH03,peramivir,peramivir trihidrat,titck
J05AH04,laninamivir,laninamivir,llm
J05AJ01,raltegravir,raltegravir,titck
J05AJ02,elvitegravir,elvitegravir,llm
J05AJ03,dolutegravir,dolutegravir sodyum,titck
J05AJ04,cabotegravir,kabotegravir,titck
J05AP01,ribavirin,ribavirin,titck
J05AP02,telaprevir,telaprevir,llm
J05AP03,boceprevir,boseprevir,llm
J05AP04,faldaprevir,faldaprevir,llm
J05AP05,simeprevir,simeprevir,llm
J05AP06,asunaprevir,asunaprevir,llm
J05AP07,daclatasvir,daklatasvir,llm
J05AP08,sofosbuvir,sofosbuvir,titck
J05AP09,dasabuvir,dasabuvir sodyum monohidrat,titck
J05AP10,elbasvir,elbasvir,llm
J05AP11,grazoprevir,grazoprevir,llm
J05AP12,coblopasvir,koblopasvir,llm
J05AP13,ravidasvir,ravidasvir,llm
J05AP14,narlaprevir,narlaprevir,llm
J05AP51,sofosbuvir and ledipasvir,ledipasvir/sofosbuvir,titck
J05AP52,"dasabuvir, ombitasvir, paritaprevir and ritonavir","dasabuvir, ombitasvir, paritaprevir ve ritonavir",llm
J05AP53,"ombitasvir, paritaprevir and ritonavir","ombitasvir, paritaprevir ve ritonavir",llm
J05AP54,elbasvir and grazoprevir,elbasvir ve grazoprevir,llm
J05AP55,sofosbuvir and velpatasvir,sofosbuvir ve velpatasvir,llm
J05AP56,"sofosbuvir, velpatasvir and voxilaprevir",sofosbuvir/velpatasvir/voksilaprevir,titck
J05AP57,glecaprevir and pibrentasvir,glekaprevir/pibrentasvir,titck
J05AP58,"daclatasvir, asunaprevir and beclabuvir","daklatasvir, asunaprevir ve beklabuvir",llm
J05AR01,zidovudine and lamivudine,"lamivudin, zidovudin",titck
J05AR02,lamivudine and abacavir,lamivudin ve abakavir,llm
J05AR03,tenofovir disoproxil and emtricitabine,"emtrisitabin, tenofovir disoproksil fumarat",titck
J05AR04,"zidovudine, lamivudine and abacavir","zidovudin, lamivudin ve abakavir",llm
J05AR05,"zidovudine, lamivudine and nevirapine","zidovudin, lamivudin ve nevirapin",llm
J05AR06,"emtricitabine, tenofovir disoproxil and efavirenz","emtrisitabin, tenofovir disoproksil ve efavirenz",llm
J05AR07,"stavudine, lamivudine and nevirapine","stavudin, lamivudin ve nevirapin",llm
J05AR08,"emtricitabine, tenofovir disoproxil and rilpivirine","emtrisitabin, tenofovir disoproksil ve rilpivirin",llm
J05AR09,"emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat",elvitegravir/kobisistat/emtrisitabin/ tenofovir disoproksil fumarat,titck
J05AR10,lopinavir and ritonavir,lopinavir and ritonavir,titck
J05AR11,"lamivudine, tenofovir disoproxil and efavirenz","lamivudin, tenofovir disoproksil ve efavirenz",llm
